N,P,K,temperature,humidity,ph,rainfall,label
23.1,74.1,29.2,27.7,77.6,6.64,89.4,Soybean
33.1,59.7,23.2,22.2,75.3,6.58,101.3,Soybean
37.1,41.2,15.3,29.0,59.2,6.57,95.0,Groundnut
136.1,50.6,81.3,18.9,64.1,5.68,58.4,Potato
32.8,60.5,16.0,27.9,64.2,6.39,73.2,Soybean
34.0,27.8,14.7,33.3,38.6,5.74,58.0,Sesame
37.6,45.1,19.4,25.9,60.7,6.11,77.5,Groundnut
62.0,41.4,28.3,20.5,47.7,6.12,73.7,Sunflower
129.3,55.4,50.3,23.2,68.0,6.32,75.7,Tomato
109.5,40.4,47.2,20.2,69.9,6.12,67.1,Chili
23.6,62.7,16.2,20.3,52.6,6.62,39.3,Chickpea
23.4,40.0,19.3,28.7,58.6,6.66,47.6,Green Gram
15.4,42.7,19.1,23.7,50.5,6.2,71.2,Green Gram
84.7,49.4,40.5,27.5,83.0,6.33,181.0,Rice
110.9,57.7,52.9,28.3,65.9,5.93,97.4,Brinjal
100.5,57.0,15.6,13.1,64.3,6.11,53.6,Wheat
109.4,65.0,29.0,20.4,58.4,6.95,89.3,Wheat
44.3,31.4,20.0,29.1,48.7,6.16,61.6,Finger Millet
165.4,54.9,65.9,25.1,72.5,6.2,244.1,Sugarcane
21.2,51.2,21.0,15.7,39.5,7.4,56.3,Chickpea
72.3,24.6,20.0,32.3,54.0,6.33,84.3,Sorghum
123.2,59.9,68.2,22.5,74.7,6.3,52.0,Tomato
108.9,54.5,110.5,21.4,63.3,5.01,45.7,Potato
121.4,52.7,99.6,17.0,51.1,6.17,65.6,Potato
71.5,55.0,20.2,28.3,59.0,7.04,53.0,Sunflower
104.4,58.2,51.6,21.7,68.3,6.68,75.0,Chili
19.8,47.8,15.4,21.2,50.6,6.5,30.7,Lentil
68.9,27.6,19.5,22.8,69.0,5.26,79.0,Finger Millet
67.8,30.6,23.7,35.0,44.6,7.22,56.3,Sorghum
118.4,69.3,60.9,27.6,58.2,6.05,69.0,Tomato
81.3,42.0,21.0,13.7,61.4,7.03,90.0,Wheat
112.2,59.8,19.6,13.1,58.1,6.26,84.7,Wheat
81.5,41.7,18.7,26.1,68.3,6.74,82.7,Maize
47.2,34.2,18.1,21.7,56.5,5.55,51.8,Finger Millet
24.3,52.3,17.3,22.8,47.2,6.97,31.2,Lentil
114.5,58.3,49.9,23.1,51.7,6.07,101.6,Cotton
55.9,26.9,23.6,26.5,32.1,6.73,55.1,Sorghum
20.1,37.6,22.4,26.0,60.3,6.56,69.9,Black Gram
51.3,34.3,19.2,22.1,42.1,7.47,35.4,Mustard
24.6,53.9,22.4,18.4,50.3,6.65,39.4,Chickpea
82.6,54.1,50.5,27.0,50.8,6.98,65.5,Cotton
18.3,42.6,21.2,29.2,57.8,7.36,67.4,Green Gram
85.1,50.8,45.0,20.9,57.2,6.27,65.6,Chili
65.2,48.8,24.5,28.0,54.0,6.78,72.4,Sunflower
102.7,56.0,59.6,27.1,61.5,6.04,58.7,Chili
113.2,63.3,46.6,23.9,74.1,6.26,85.4,Tomato
69.4,24.2,14.9,26.3,31.5,6.87,48.0,Pearl Millet
101.5,49.7,49.9,26.3,72.6,5.78,204.5,Rice
15.5,48.5,23.9,30.0,58.7,6.44,78.7,Black Gram
64.0,39.1,18.1,16.1,36.2,7.03,47.0,Mustard
101.6,55.2,52.9,25.2,72.2,5.73,214.1,Rice
16.1,47.5,21.9,27.9,56.7,6.86,107.1,Pigeon Pea
82.7,54.6,20.2,20.1,50.9,7.31,98.7,Wheat
24.8,64.5,24.2,27.0,69.6,6.4,119.3,Soybean
21.3,53.3,17.1,21.7,36.6,6.6,24.9,Lentil
82.0,42.2,18.1,21.2,67.4,6.2,96.6,Maize
21.7,46.4,16.9,21.7,35.0,7.21,23.2,Chickpea
84.2,56.4,27.3,16.9,65.5,7.45,60.2,Wheat
23.2,75.3,26.6,23.2,69.3,6.77,86.9,Soybean
93.7,46.8,24.8,23.7,57.5,6.61,76.3,Maize
95.2,49.3,20.2,21.9,61.3,6.32,98.7,Maize
64.9,26.2,17.6,28.7,61.7,5.81,74.4,Finger Millet
94.2,41.7,22.8,12.9,66.0,6.35,77.0,Wheat
21.2,42.3,18.9,29.0,73.8,6.81,80.7,Black Gram
16.1,48.3,17.9,24.0,73.7,6.03,67.5,Black Gram
94.0,58.2,51.6,31.7,72.5,6.23,290.8,Rice
117.3,46.2,47.2,24.7,61.2,6.81,49.5,Chili
65.7,31.1,20.0,26.9,51.5,7.02,81.9,Sorghum
90.6,41.1,54.5,25.9,87.8,6.13,269.2,Rice
45.0,30.7,16.8,22.4,57.4,6.65,60.6,Finger Millet
16.0,53.1,23.1,22.9,58.3,6.14,104.5,Pigeon Pea
117.1,55.0,48.8,21.5,66.1,6.46,43.8,Chili
88.3,63.3,16.7,22.6,57.6,7.32,93.4,Wheat
21.4,23.4,12.5,27.4,54.8,6.64,64.3,Sesame
99.2,69.3,47.1,20.7,66.9,6.44,98.0,Brinjal
54.6,40.3,22.2,19.3,44.4,7.33,53.0,Mustard
32.3,45.3,24.8,32.0,68.8,6.0,94.3,Groundnut
62.3,44.3,24.4,23.8,68.4,6.56,69.9,Maize
62.0,23.5,23.1,25.9,50.3,5.43,81.4,Finger Millet
19.5,47.9,24.5,29.9,50.8,6.5,63.8,Green Gram
26.6,67.3,25.2,22.8,66.6,6.08,73.7,Soybean
82.9,40.8,42.0,20.9,60.9,6.22,83.0,Chili
35.1,41.6,19.7,28.2,54.3,6.88,54.3,Groundnut
30.8,49.8,23.2,24.8,56.4,6.05,69.8,Groundnut
119.9,48.9,50.4,31.4,87.0,5.75,217.6,Rice
110.3,44.2,49.3,24.3,53.5,7.13,107.5,Cotton
17.3,44.6,20.5,21.3,40.1,6.95,25.1,Lentil
217.0,68.8,54.8,29.0,76.6,6.36,176.2,Sugarcane
15.0,46.0,17.1,17.5,51.1,6.42,27.7,Chickpea
15.5,53.8,20.3,21.1,44.6,6.09,43.0,Lentil
107.8,63.2,62.1,19.4,57.9,6.76,76.1,Tomato
111.8,46.9,52.2,18.9,72.2,6.59,85.1,Tomato
102.9,65.1,49.3,24.9,68.8,6.35,80.1,Brinjal
173.1,48.4,70.4,22.8,79.0,7.04,195.9,Sugarcane
52.0,21.1,21.9,29.6,35.7,6.92,52.6,Sorghum
31.8,75.4,19.4,24.7,78.7,6.16,72.1,Soybean
24.5,46.4,29.3,30.8,52.9,6.03,96.7,Groundnut
19.0,50.2,19.8,31.4,55.9,6.62,76.5,Green Gram
19.0,43.7,22.1,23.7,56.1,5.65,100.3,Pigeon Pea
24.3,43.4,29.4,28.2,58.0,6.52,88.9,Groundnut
31.7,64.3,15.6,24.9,72.2,6.12,116.2,Soybean
33.8,16.1,12.0,25.9,36.3,5.9,55.0,Sesame
82.6,45.8,46.1,21.6,60.2,6.01,55.0,Chili
111.8,40.7,38.2,28.0,59.2,6.37,65.8,Cotton
76.7,53.8,16.0,20.5,60.5,6.32,109.0,Maize
21.9,45.7,18.8,25.4,67.4,7.34,69.8,Black Gram
19.2,50.1,17.3,24.2,58.2,6.56,83.9,Black Gram
31.1,51.1,24.2,29.8,62.9,6.52,84.1,Groundnut
66.9,49.7,19.1,23.5,62.4,6.46,61.9,Sunflower
50.8,36.5,20.2,32.8,35.9,6.52,41.5,Sorghum
106.1,56.8,67.4,25.6,60.8,6.47,75.3,Brinjal
17.0,46.7,24.4,21.9,64.6,6.99,87.8,Pigeon Pea
36.2,23.8,13.9,26.1,52.9,5.55,65.2,Sesame
68.6,36.9,15.6,28.4,31.7,7.46,80.8,Sorghum
120.1,52.3,92.2,22.2,59.0,5.25,43.8,Potato
51.6,50.5,24.2,20.7,55.2,6.12,69.4,Sunflower
111.6,49.2,49.5,24.8,52.6,6.2,86.2,Cotton
44.5,29.7,16.7,28.7,60.3,5.28,98.1,Finger Millet
90.2,46.5,17.9,26.1,57.3,6.95,75.7,Maize
111.5,45.0,18.9,14.1,56.6,7.14,76.0,Wheat
27.5,37.7,22.4,31.0,67.7,6.01,94.3,Groundnut
70.8,49.9,23.7,26.5,57.1,5.99,107.2,Maize
110.9,68.8,60.1,26.1,57.6,6.8,88.6,Brinjal
58.8,51.6,24.6,29.0,57.6,7.11,73.5,Sunflower
37.2,58.5,18.0,26.5,54.8,6.36,95.7,Groundnut
22.6,53.6,18.6,15.8,38.9,7.43,36.3,Chickpea
117.0,56.9,40.2,28.6,86.3,6.06,229.4,Rice
108.1,54.0,15.1,16.2,60.4,6.13,67.5,Wheat
19.5,47.5,16.5,23.9,72.2,6.38,65.2,Black Gram
39.2,40.2,24.8,24.3,51.3,6.55,55.2,Groundnut
90.0,47.2,39.4,31.9,88.9,5.54,255.8,Rice
96.9,58.4,18.6,13.4,57.1,6.43,64.8,Wheat
179.9,55.6,53.9,30.0,84.7,6.38,155.6,Sugarcane
23.3,42.2,21.1,23.5,51.3,6.32,50.1,Green Gram
179.7,67.9,70.3,30.0,82.4,7.46,226.3,Sugarcane
53.9,43.9,22.1,21.6,45.0,6.71,33.3,Mustard
75.8,45.5,19.1,26.2,69.3,6.53,75.5,Maize
22.7,48.2,19.1,31.0,58.3,7.49,54.8,Black Gram
80.5,63.9,26.1,16.6,55.9,6.52,88.7,Wheat
33.5,45.1,27.9,25.4,60.9,6.95,81.3,Groundnut
87.0,41.5,18.5,26.3,60.8,6.36,104.5,Maize
26.7,24.6,15.3,33.2,47.5,5.5,61.7,Sesame
17.3,35.9,22.1,30.5,58.7,7.39,68.6,Green Gram
53.9,22.0,24.3,28.7,62.7,5.19,88.8,Finger Millet
92.1,64.6,60.4,23.2,69.4,6.52,96.7,Brinjal
65.5,24.3,21.4,23.1,68.9,5.06,79.0,Finger Millet
24.7,43.8,24.3,18.8,49.6,6.03,28.2,Chickpea
88.5,33.4,24.3,27.7,45.3,7.02,55.9,Sorghum
20.9,37.8,17.8,28.0,67.0,6.24,96.8,Groundnut
219.4,65.6,71.1,23.3,82.5,6.79,238.9,Sugarcane
67.5,51.8,24.8,18.9,55.2,6.32,64.6,Maize
21.9,45.3,21.5,23.9,43.8,6.9,42.5,Lentil
85.2,40.8,28.8,20.0,65.9,6.72,55.9,Wheat
65.3,28.5,23.1,23.5,52.0,6.65,52.8,Mustard
93.8,64.4,24.6,22.7,52.7,7.29,96.1,Wheat
172.1,55.7,54.6,27.4,66.2,6.22,224.6,Sugarcane
190.7,62.3,76.2,30.6,84.6,6.77,233.1,Sugarcane
93.3,50.0,16.1,18.8,73.2,6.6,101.5,Maize
86.0,45.6,18.8,23.1,61.2,6.79,55.7,Wheat
21.9,54.4,15.8,31.0,52.5,6.59,79.1,Green Gram
103.4,58.5,46.5,25.9,82.9,5.96,231.8,Rice
53.5,16.9,13.9,26.6,43.4,6.53,31.8,Pearl Millet
100.9,47.2,26.9,19.5,62.7,7.2,69.8,Wheat
125.9,66.8,57.8,26.6,66.3,5.59,79.8,Brinjal
81.0,37.7,35.6,28.4,76.3,6.01,286.1,Rice
17.3,42.8,21.1,29.6,68.0,7.37,76.1,Green Gram
98.1,44.1,26.9,21.0,54.4,6.12,84.0,Wheat
23.5,39.3,21.7,20.4,51.7,6.13,23.9,Lentil
107.1,68.0,59.4,27.1,63.3,5.79,86.2,Brinjal
16.0,43.6,17.3,20.2,40.1,6.94,47.2,Lentil
60.8,24.0,18.1,27.4,35.4,6.64,85.4,Sorghum
106.2,46.8,29.3,14.0,58.6,7.42,71.0,Wheat
19.9,40.2,19.9,20.2,58.4,6.28,104.9,Pigeon Pea
111.8,41.8,43.8,22.8,70.5,6.46,275.4,Rice
133.9,53.4,115.7,20.6,60.5,5.49,49.7,Potato
19.1,60.6,20.2,19.6,41.3,6.87,49.2,Chickpea
21.4,28.0,17.9,30.7,36.7,5.91,45.4,Sesame
38.0,25.8,13.5,30.9,41.2,7.0,61.2,Sesame
23.8,62.8,16.8,28.9,69.9,6.57,98.5,Soybean
54.8,20.4,13.4,30.2,36.0,7.61,45.2,Pearl Millet
19.0,38.4,18.8,30.7,57.3,7.43,82.9,Green Gram
102.7,52.1,36.7,26.6,50.6,7.01,98.7,Cotton
56.8,42.6,24.8,20.8,57.1,7.4,74.0,Sunflower
46.7,27.5,15.5,26.9,43.0,7.02,48.1,Pearl Millet
44.6,26.6,20.1,22.6,52.9,5.16,65.2,Finger Millet
16.0,51.9,16.7,23.4,46.2,5.9,98.4,Pigeon Pea
114.9,55.2,54.5,20.9,50.4,6.59,83.2,Chili
91.1,54.8,28.7,14.7,62.5,6.95,86.7,Wheat
16.5,50.9,22.9,24.4,60.8,7.41,83.0,Black Gram
90.0,59.1,49.0,21.3,52.2,6.65,61.9,Chili
111.9,48.1,36.8,26.2,57.2,7.46,98.1,Cotton
103.8,45.2,51.8,22.7,56.1,7.44,105.2,Cotton
28.8,27.1,15.1,32.0,49.9,5.88,65.6,Sesame
27.6,27.1,16.5,29.4,48.0,5.58,41.3,Sesame
107.9,66.6,66.7,22.7,74.5,6.08,40.2,Tomato
105.3,41.1,40.6,29.1,54.3,6.78,96.2,Cotton
119.5,44.4,42.4,30.1,88.9,6.49,263.0,Rice
67.4,44.3,21.3,28.9,53.7,6.11,77.9,Sunflower
191.3,62.0,77.7,29.6,77.9,6.18,187.4,Sugarcane
20.2,36.5,16.9,23.4,49.5,6.89,23.5,Lentil
77.6,48.7,22.0,20.9,60.8,6.11,42.7,Sunflower
32.8,67.3,18.3,23.4,60.0,6.72,75.6,Soybean
62.1,23.9,18.7,30.8,33.6,7.48,46.2,Pearl Millet
176.1,47.8,79.0,27.3,67.6,6.53,204.7,Sugarcane
114.6,51.7,58.9,25.7,52.5,6.17,89.5,Chili
100.9,53.2,55.0,22.5,56.4,6.31,58.1,Chili
110.4,51.0,68.3,27.8,71.3,6.31,60.2,Tomato
90.2,61.0,15.6,23.7,59.2,6.96,83.0,Wheat
37.8,15.4,14.1,25.3,42.4,5.76,43.8,Sesame
50.4,15.8,17.3,26.2,32.6,7.05,46.9,Pearl Millet
131.2,59.5,119.0,22.5,70.0,5.88,48.2,Potato
82.1,50.5,18.9,21.5,69.6,6.38,82.7,Wheat
114.5,58.7,42.5,24.7,82.9,5.91,153.8,Rice
26.6,43.2,17.4,21.7,60.5,5.69,82.7,Pigeon Pea
97.3,51.0,24.2,24.3,54.8,6.18,59.9,Wheat
114.2,51.1,58.1,22.3,71.2,6.0,91.7,Brinjal
57.2,43.1,28.0,29.4,64.9,7.44,40.2,Sunflower
65.0,54.9,17.8,25.9,73.9,5.98,83.1,Maize
61.3,34.8,15.5,21.0,63.0,5.51,59.2,Finger Millet
169.6,53.4,64.1,22.1,77.9,6.49,213.3,Sugarcane
53.3,40.8,16.7,12.5,38.7,7.15,42.2,Mustard
188.0,52.5,68.4,28.1,76.6,6.17,197.7,Sugarcane
17.7,35.7,19.2,24.0,54.7,6.64,24.8,Lentil
32.0,74.7,26.4,24.8,69.1,6.59,118.7,Soybean
131.0,56.4,105.2,21.4,69.2,5.25,79.9,Potato
105.8,58.7,82.5,22.9,52.8,6.01,55.6,Potato
48.0,30.1,15.5,21.1,45.1,6.8,90.1,Finger Millet
21.6,39.3,19.3,24.0,61.0,6.17,45.9,Green Gram
80.5,51.6,38.6,31.6,73.0,5.91,162.8,Rice
93.0,58.9,23.2,18.0,67.7,5.86,72.9,Maize
21.2,51.6,18.6,26.3,63.2,6.56,87.0,Black Gram
26.8,40.8,24.7,20.3,41.1,6.54,22.7,Chickpea
56.5,24.7,15.2,33.3,54.4,6.2,51.6,Sorghum
22.5,36.8,23.6,30.1,50.7,6.14,47.0,Green Gram
196.4,58.7,75.9,25.9,66.2,7.27,217.4,Sugarcane
28.9,42.7,24.1,25.5,62.5,6.17,53.2,Groundnut
80.6,53.3,48.9,28.1,50.1,6.89,93.0,Cotton
98.2,46.5,58.7,25.0,75.0,6.36,84.8,Tomato
109.8,35.8,46.4,29.6,87.5,5.84,273.2,Rice
103.0,45.4,37.4,24.0,59.5,7.22,66.0,Cotton
39.6,48.0,28.9,27.3,70.0,6.58,52.1,Groundnut
95.2,61.6,22.8,18.2,50.5,6.51,69.0,Wheat
21.2,55.7,22.0,22.1,36.0,7.29,38.3,Chickpea
93.5,55.9,44.2,27.4,69.0,6.01,62.0,Chili
21.8,35.8,19.0,25.7,64.1,6.28,101.0,Pigeon Pea
70.3,23.8,15.8,32.0,39.6,7.23,73.0,Sorghum
28.4,16.3,12.0,26.5,44.6,6.29,68.2,Sesame
56.2,49.3,27.1,24.5,55.1,6.05,42.8,Sunflower
120.7,66.4,109.3,15.7,54.2,5.47,44.7,Potato
19.9,52.0,23.7,23.7,57.7,6.95,62.0,Black Gram
26.6,40.8,28.3,24.4,53.5,6.55,74.1,Groundnut
20.0,44.1,18.4,28.9,70.2,7.28,88.9,Black Gram
15.9,44.5,16.9,24.1,63.2,7.37,61.2,Green Gram
113.6,58.8,53.5,22.1,57.2,6.48,70.2,Chili
107.8,45.2,38.5,23.6,75.0,6.05,257.2,Rice
193.7,66.0,71.6,27.6,84.2,6.29,244.3,Sugarcane
91.4,47.7,27.0,19.0,56.2,6.92,85.8,Wheat
15.1,53.7,21.3,25.2,59.9,6.01,59.4,Black Gram
22.2,38.8,19.4,22.7,62.8,7.11,65.5,Black Gram
193.1,53.4,68.7,26.1,73.8,7.28,155.0,Sugarcane
29.5,56.3,24.1,23.2,76.6,6.36,84.1,Soybean
17.9,46.5,15.7,16.9,43.1,6.94,31.3,Lentil
102.6,55.9,48.8,29.6,55.4,6.74,61.0,Chili
99.5,42.7,23.2,17.9,66.9,6.15,74.4,Wheat
178.3,64.4,66.2,26.4,83.3,6.57,172.0,Sugarcane
22.5,58.3,20.8,25.4,54.1,5.81,60.2,Pigeon Pea
18.2,38.4,17.6,22.4,69.1,6.74,53.8,Black Gram
62.2,27.4,16.3,32.8,40.0,6.86,58.7,Pearl Millet
20.7,22.5,18.5,30.9,40.5,6.1,58.8,Sesame
101.6,45.7,54.5,26.0,50.1,6.46,90.6,Cotton
71.1,29.1,23.9,24.1,54.5,7.41,38.2,Mustard
24.5,37.6,22.0,27.1,50.5,7.39,79.1,Green Gram
83.8,28.6,18.8,34.2,36.3,7.27,64.2,Sorghum
102.8,46.9,48.8,18.4,60.8,6.87,57.0,Tomato
66.0,29.3,11.5,29.8,40.0,7.13,42.0,Pearl Millet
32.3,21.3,16.2,28.4,35.6,6.09,67.6,Sesame
112.6,48.4,109.7,22.9,68.9,5.09,69.6,Potato
29.2,67.8,21.5,26.7,64.7,6.94,99.4,Soybean
71.7,54.3,20.2,21.1,62.4,5.8,75.0,Maize
37.1,54.3,16.0,29.0,54.7,6.56,97.8,Groundnut
95.0,58.8,49.6,28.0,73.1,5.66,158.7,Rice
102.8,53.5,67.5,27.4,74.4,6.28,62.1,Brinjal
117.0,51.7,114.5,20.4,61.8,5.92,68.8,Potato
111.3,57.9,109.4,15.9,55.9,6.39,57.2,Potato
65.5,27.3,10.4,30.0,42.2,6.6,39.2,Pearl Millet
106.4,48.0,49.2,22.5,61.8,6.47,61.5,Tomato
121.1,59.5,52.2,25.3,66.8,6.01,85.1,Tomato
95.5,48.6,47.6,26.2,57.3,6.6,99.6,Brinjal
30.0,57.5,18.9,30.9,62.9,6.02,86.2,Groundnut
110.5,59.9,21.5,22.6,52.4,6.82,50.3,Wheat
204.5,68.9,54.3,23.9,82.8,7.16,242.7,Sugarcane
84.0,50.0,27.0,14.7,61.1,7.1,80.8,Wheat
119.8,64.3,68.0,24.3,60.9,6.33,70.8,Brinjal
54.1,28.6,15.7,32.6,45.3,6.75,43.0,Pearl Millet
60.6,59.1,17.5,24.1,69.1,6.53,75.6,Maize
28.4,64.3,23.6,16.1,53.9,6.64,20.4,Chickpea
105.0,57.1,47.3,24.3,70.5,6.37,153.2,Rice
77.0,35.9,16.3,24.9,55.0,6.3,86.1,Maize
65.3,40.3,29.0,24.6,47.6,6.65,45.1,Sunflower
79.2,32.4,16.9,25.3,37.1,6.66,70.9,Sorghum
41.2,20.3,22.7,21.3,56.7,6.09,71.4,Finger Millet
113.3,55.5,50.1,24.2,68.3,5.59,66.7,Brinjal
113.2,36.5,38.4,28.2,45.0,6.56,89.2,Cotton
69.7,28.9,18.0,13.7,42.7,6.31,49.3,Mustard
100.1,49.4,44.9,24.0,84.4,5.78,153.6,Rice
85.0,57.1,21.5,14.6,59.8,6.1,79.1,Wheat
65.9,39.5,20.4,27.8,47.7,6.41,85.2,Sorghum
53.8,27.9,15.3,26.4,47.0,5.78,64.6,Finger Millet
71.6,26.2,19.7,22.8,44.0,6.22,59.6,Mustard
22.3,41.6,20.5,23.4,54.9,6.65,32.8,Chickpea
121.7,53.5,108.3,22.4,56.9,5.13,51.9,Potato
15.3,50.1,17.8,28.6,50.7,6.53,93.7,Pigeon Pea
22.4,48.3,16.1,22.2,45.0,6.89,47.6,Lentil
83.7,52.7,49.7,23.6,51.0,6.94,61.1,Cotton
91.1,50.8,67.6,26.4,59.5,5.78,93.1,Brinjal
57.8,41.9,29.9,23.7,60.2,6.68,71.7,Sunflower
123.6,60.6,63.4,23.5,73.9,6.42,71.1,Brinjal
90.0,26.5,22.5,33.1,51.5,7.5,52.1,Sorghum
73.8,28.7,16.6,26.2,43.7,7.35,57.2,Sorghum
23.4,50.0,25.7,26.5,60.8,6.69,71.1,Groundnut
27.8,41.0,23.8,20.2,59.6,6.9,92.9,Pigeon Pea
25.9,45.0,18.7,20.0,49.5,6.17,36.3,Chickpea
23.6,45.4,23.6,24.4,45.4,6.53,29.4,Chickpea
88.3,31.3,20.1,25.9,43.7,6.57,70.4,Sorghum
98.2,60.5,48.2,18.0,73.6,6.55,86.3,Tomato
101.1,58.3,16.2,12.8,54.9,6.24,93.6,Wheat
67.2,30.8,22.0,32.0,34.3,6.75,60.6,Sorghum
17.5,53.1,16.0,31.8,72.2,7.03,87.5,Black Gram
78.2,29.1,21.7,33.4,34.2,6.03,79.0,Sorghum
76.8,39.5,23.3,26.4,48.4,7.46,59.5,Sunflower
29.7,55.7,15.2,23.0,65.0,6.43,94.4,Soybean
55.1,26.8,22.5,21.3,58.7,5.98,54.5,Finger Millet
200.5,58.8,72.5,24.1,68.7,6.08,207.3,Sugarcane
29.8,28.1,15.5,29.8,53.5,6.58,38.9,Sesame
69.5,47.8,16.0,21.5,64.8,6.58,107.5,Maize
23.0,46.6,22.7,25.3,71.6,6.41,71.8,Black Gram
83.0,40.9,43.1,26.4,58.0,6.83,43.6,Chili
92.1,42.5,25.4,12.8,60.2,7.5,90.7,Wheat
72.5,36.1,16.4,30.8,42.6,6.22,71.2,Sorghum
67.3,32.3,22.6,20.5,66.1,5.79,67.1,Finger Millet
22.1,47.4,22.3,20.9,58.4,6.84,62.9,Pigeon Pea
68.2,49.8,16.9,21.0,72.1,6.05,63.6,Maize
116.8,67.8,69.3,25.0,59.7,5.75,61.1,Brinjal
122.9,55.9,58.4,20.8,58.3,6.48,63.2,Tomato
94.0,41.4,29.5,23.5,68.6,7.49,58.7,Wheat
73.9,27.5,19.0,15.5,40.8,6.18,54.2,Mustard
35.7,57.3,23.3,31.7,69.9,6.12,92.5,Groundnut
52.2,22.5,24.8,28.5,57.5,6.09,61.4,Finger Millet
30.4,22.6,10.6,34.2,38.5,6.29,63.1,Sesame
28.4,58.9,18.3,22.4,38.0,6.2,33.8,Chickpea
36.2,40.4,27.0,27.2,53.8,6.76,54.5,Groundnut
30.0,21.4,13.3,31.5,37.6,6.57,69.3,Sesame
31.5,55.8,17.8,30.3,61.9,6.89,58.6,Groundnut
23.9,39.8,17.8,22.5,70.9,6.63,59.2,Black Gram
25.6,40.2,20.2,15.4,46.4,7.38,58.7,Chickpea
55.1,31.6,21.9,32.0,48.8,7.31,65.0,Sorghum
109.7,57.9,42.8,27.2,60.3,6.11,72.6,Chili
20.2,23.6,17.2,32.5,53.1,5.51,35.0,Sesame
23.4,35.2,18.6,25.9,58.4,6.92,94.0,Groundnut
21.9,55.7,20.6,22.4,40.6,6.85,23.5,Chickpea
105.9,58.5,43.4,27.5,51.7,6.57,67.6,Chili
160.3,63.6,67.3,23.1,68.4,7.31,192.0,Sugarcane
110.8,51.6,39.3,24.6,60.5,7.91,63.9,Cotton
105.5,49.9,19.1,24.8,58.2,7.34,61.5,Wheat
